tipo;titulo;Id_diretor;data_inclusao;ano_lancamento;id_avaliacao;analiacoes_qtd;duracao;duracao_tipo
Filme;Naruto Shippûden the Movie: Bonds;1301;15/09/2021;2008;TV-PG;299.466;93;minutos
Filme;Naruto Shippûden the Movie: The Will of Fire;2311;15/09/2021;2009;TV-PG;199.644;96;minutos
Filme;Naruto Shippuden: The Movie;1301;15/09/2021;2007;TV-PG;399.288;95;minutos
Filme;Naruto Shippuden: The Movie: The Lost Tower;2311;15/09/2021;2010;TV-14;399.288;85;minutos
Filme;Naruto the Movie 2: Legend of the Stone of Gelel;1374;15/09/2021;2005;TV-PG;299.466;97;minutos
Filme;Naruto the Movie 3: Guardians of the Crescent Moon Kingdom;3718;15/09/2021;2006;TV-PG;798.576;95;minutos
Filme;Naruto the Movie: Ninja Clash in the Land of Snow;3610;15/09/2021;2004;TV-PG;299.466;83;minutos
Filme;Nightbooks;892;15/09/2021;2021;TV-PG;998.220;103;minutos
Filme;A StoryBots Space Adventure;831;14/09/2021;2021;TV-Y;299.859;13;minutos
Filme;King of Boys;1912;14/09/2021;2018;TV-MA;1.299.389;182;minutos
Filme;You vs. Wild: Out Cold;429;14/09/2021;2021;TV-G;799.624;106;minutos
Filme;Little Singham - Black Shadow;2880;11/09/2021;2021;TV-Y7;802.768;48;minutos
Filme;Tughlaq Durbar;912;11/09/2021;2020;TV-14;301.038;145;minutos
Filme;Tughlaq Durbar (Telugu);912;11/09/2021;2021;TV-14;1.304.498;145;minutos
Filme;Firedrake the Silver Dragon;3698;10/09/2021;2021;TV-Y7;1.004.770;93;minutos
Filme;Kate;601;10/09/2021;2021;R;1.004.770;106;minutos
Filme;Prey;3632;10/09/2021;2021;TV-MA;703.339;87;minutos
Filme;Blood Brothers: Malcolm X & Muhammad Ali;2235;09/09/2021;2021;PG-13;201.216;96;minutos
Filme;Paradise Hills;166;09/09/2021;2019;TV-MA;402.432;95;minutos
Filme;JJ+E;148;08/09/2021;2021;TV-MA;201.478;91;minutos
Filme;Show Dogs;2938;08/09/2021;2018;PG;503.695;90;minutos
Filme;If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd;3473;07/09/2021;2018;TV-MA;907.830;97;minutos
Série;Countdown: Inspiration4 Mission to Space;1520;06/09/2021;2021;TV-14;505.005;1;temporadas
Filme;Shadow Parties;3899;06/09/2021;2020;TV-MA;404.004;117;minutos
Filme;Angamaly Diaries;2086;05/09/2021;2017;TV-14;1.011.320;128;minutos
Filme;Worth;3258;03/09/2021;2021;PG-13;608.364;119;minutos
Filme;Afterlife of the Party;3471;02/09/2021;2021;TV-PG;812.200;110;minutos
Filme;Anjaam;2925;02/09/2021;1994;TV-14;913.725;143;minutos
Filme;Bright Star;1508;02/09/2021;2009;PG;710.675;119;minutos
Filme;Dhanak;2551;02/09/2021;2015;TV-PG;304.575;114;minutos
Filme;Final Account;2144;02/09/2021;2021;PG-13;812.200;94;minutos
Filme;Gurgaon;3350;02/09/2021;2017;TV-14;203.050;106;minutos
Filme;Here and There;1794;02/09/2021;2020;TV-MA;1.319.825;99;minutos
Filme;In the Cut;1508;02/09/2021;2003;R;1.015.250;118;minutos
Filme;Shikara;3794;02/09/2021;2020;TV-14;1.116.775;115;minutos
Filme;A Cinderella Story;2279;01/09/2021;2004;PG;609.936;95;minutos
Filme;Agatha Christie's Crooked House;1235;01/09/2021;2017;PG-13;914.904;115;minutos
Filme;An Unfinished Life;2027;01/09/2021;2005;PG-13;203.312;108;minutos
Filme;Barbie Big City Big Dreams;3293;01/09/2021;2021;TV-Y;813.248;63;minutos
Filme;Blade Runner: The Final Cut;3048;01/09/2021;1982;R;1.118.216;117;minutos
Filme;Chappie;2592;01/09/2021;2015;R;711.592;121;minutos
Filme;Clear and Present Danger;2857;01/09/2021;1994;PG-13;304.968;142;minutos
Filme;Cliffhanger;3007;01/09/2021;1993;R;1.016.560;113;minutos
Filme;Cold Mountain;295;01/09/2021;2003;R;914.904;154;minutos
Filme;Crocodile Dundee in Los Angeles;3409;01/09/2021;2001;PG;1.321.528;95;minutos
Filme;Dear John;2027;01/09/2021;2010;PG-13;1.118.216;108;minutos
Filme;Do the Right Thing;3438;01/09/2021;1989;R;813.248;120;minutos
Filme;El patrón, radiografía de un crimen;3311;01/09/2021;2014;TV-MA;813.248;100;minutos
Filme;Extraction;3494;01/09/2021;2015;R;1.321.528;82;minutos
Filme;Freedom Writers;3032;01/09/2021;2007;PG-13;203.312;124;minutos
Filme;Green Lantern;2292;01/09/2021;2011;PG-13;711.592;114;minutos
Filme;House Party;2996;01/09/2021;1990;R;609.936;104;minutos
Filme;House Party 3;1047;01/09/2021;1994;R;508.280;94;minutos
Série;HQ Barbers;1225;01/09/2021;2020;TV-14;304.968;1;temporadas
Filme;I Got the Hook Up;2420;01/09/2021;1998;R;711.592;93;minutos
Filme;In Too Deep;2433;01/09/2021;1999;R;1.016.560;97;minutos
Filme;Janoskians: Untold and Untrue;512;01/09/2021;2016;TV-MA;914.904;88;minutos
Filme;Labyrinth;1632;01/09/2021;1986;PG;711.592;101;minutos
Filme;Letters to Juliet;1194;01/09/2021;2010;PG;1.118.216;105;minutos
Filme;Level 16;812;01/09/2021;2018;TV-14;508.280;102;minutos
Filme;Love Don't Cost a Thing;3734;01/09/2021;2003;PG-13;203.312;101;minutos
Filme;Love in a Puff;2742;01/09/2021;2010;TV-MA;711.592;103;minutos
Filme;Mars Attacks!;3648;01/09/2021;1996;PG-13;1.118.216;106;minutos
Filme;Marshall;2996;01/09/2021;2017;PG-13;1.016.560;118;minutos
Filme;My Boss's Daughter;894;01/09/2021;2003;R;813.248;86;minutos
Filme;Mystery Men;1963;01/09/2021;1999;PG-13;609.936;121;minutos
Filme;Once Upon a Time in America;3327;01/09/2021;1984;R;1.321.528;229;minutos
Filme;Poseidon;3873;01/09/2021;2006;PG-13;609.936;98;minutos
Filme;Rhyme & Reason;2832;01/09/2021;1997;R;1.118.216;89;minutos
Filme;Same Kind of Different as Me;2389;01/09/2021;2017;PG-13;1.016.560;120;minutos
Filme;School of Rock;3034;01/09/2021;2003;PG-13;1.219.872;110;minutos
Filme;Snervous Tyler Oakley;210;01/09/2021;2015;PG-13;813.248;83;minutos
Filme;Tears of the Sun;300;01/09/2021;2003;R;914.904;121;minutos
Filme;The Blue Lagoon;2971;01/09/2021;1980;R;609.936;105;minutos
Filme;The Golden Child;2431;01/09/2021;1986;PG-13;406.624;94;minutos
Filme;The Guns of Navarone;1448;01/09/2021;1961;TV-14;813.248;156;minutos
Filme;The Nutty Professor;3691;01/09/2021;1996;PG-13;914.904;95;minutos
Filme;The Nutty Professor II: The Klumps;2830;01/09/2021;2000;PG-13;914.904;107;minutos
Filme;Welcome Home Roscoe Jenkins;2183;01/09/2021;2008;PG-13;1.321.528;114;minutos
Filme;In the Line of Fire;3873;31/08/2021;1993;R;1.017.870;129;minutos
Filme;Thimmarusu;3353;28/08/2021;2021;TV-14;817.440;125;minutos
Filme;Wind River;3600;28/08/2021;2017;R;613.080;107;minutos
Filme;C Kkompany;3183;27/08/2021;2008;TV-14;920.799;127;minutos
Filme;EMI: Liya Hai To Chukana Padega;3280;27/08/2021;2008;TV-14;818.488;128;minutos
Filme;He's All That;2283;27/08/2021;2021;TV-14;818.488;92;minutos
Série;King of Boys: The Return of the King;1912;27/08/2021;2021;TV-MA;1.227.732;1;temporadas
Filme;Koi Aap Sa;2754;27/08/2021;2006;TV-14;511.555;135;minutos
Filme;Krishna Cottage;3256;27/08/2021;2004;TV-14;716.177;124;minutos
Filme;Kyaa Kool Hai Hum;3241;27/08/2021;2005;TV-MA;1.227.732;165;minutos
Filme;Kyaa Kool Hain Hum 3;3753;27/08/2021;2016;TV-MA;511.555;124;minutos
Filme;Kyaa Super Kool Hain Hum;3183;27/08/2021;2012;TV-MA;920.799;136;minutos
Filme;Kyo Kii... Main Jhuth Nahin Bolta;841;27/08/2021;2001;TV-14;1.330.043;150;minutos
Filme;LSD: Love, Sex Aur Dhokha;940;27/08/2021;2010;TV-MA;1.227.732;112;minutos
Filme;Mission Istaanbul: Darr Ke Aagey Jeet Hai;318;27/08/2021;2008;TV-14;920.799;119;minutos
Filme;Once Upon a Time in Mumbaai;2488;27/08/2021;2010;TV-14;613.866;133;minutos
Filme;Once Upon a Time in Mumbai Dobaara!;2488;27/08/2021;2013;TV-14;613.866;142;minutos
Filme;Ragini MMS;2798;27/08/2021;2011;TV-MA;613.866;93;minutos
Filme;Ragini MMS 2;459;27/08/2021;2014;TV-MA;818.488;113;minutos
Filme;SAS: Rise of the Black Swan;2166;27/08/2021;2021;R;1.125.421;124;minutos
Filme;Shootout at Lokhandwala;318;27/08/2021;2007;TV-MA;409.244;116;minutos
Filme;The Dirty Picture;2488;27/08/2021;2011;TV-14;1.023.110;145;minutos
Filme;Bob Ross: Happy Accidents, Betrayal & Greed;1789;25/08/2021;2021;TV-14;1.128.303;93;minutos
Série;Clickbait;489;25/08/2021;2021;TV-MA;307.719;1;temporadas
Filme;Really Love;263;25/08/2021;2020;TV-MA;923.157;95;minutos
Filme;The November Man;3116;25/08/2021;2014;R;205.146;108;minutos
Filme;The Old Ways;694;25/08/2021;2020;TV-MA;1.230.876;90;minutos
Filme;The River Runner;3155;25/08/2021;2021;TV-MA;205.146;86;minutos
Filme;The Water Man;876;25/08/2021;2021;PG;512.865;92;minutos
Filme;Count Me In;2269;24/08/2021;2021;TV-MA;513.520;82;minutos
Filme;Untold: Caitlyn Jenner;753;24/08/2021;2021;TV-PG;924.336;70;minutos
Filme;Boomika;2979;23/08/2021;2021;TV-14;617.010;122;minutos
Filme;Boomika (Hindi);2979;23/08/2021;2021;TV-14;308.505;122;minutos
Filme;Boomika (Malayalam);2979;23/08/2021;2021;TV-14;1.234.020;122;minutos
Filme;Boomika (Telugu);2979;23/08/2021;2021;TV-14;617.010;122;minutos
Filme;The Witcher: Nightmare of the Wolf;1312;23/08/2021;2021;TV-MA;514.175;84;minutos
Filme;Gunshot;1875;20/08/2021;2018;TV-14;1.341.964;96;minutos
Filme;Man in Love;3906;20/08/2021;2021;TV-MA;1.341.964;115;minutos
Filme;Sweet Girl;515;20/08/2021;2021;R;412.912;110;minutos
Filme;The Loud House Movie;829;20/08/2021;2021;TV-Y7;412.912;88;minutos
Filme;A Faraway Land;3779;19/08/2021;2020;TV-PG;930.231;102;minutos
Filme;Like Crazy;971;19/08/2021;2011;PG-13;1.033.590;91;minutos
Filme;Black Island;2460;18/08/2021;2021;TV-MA;1.034.900;105;minutos
Filme;Bombay;2198;18/08/2021;1995;TV-14;517.450;135;minutos
Filme;Memories of a Murderer: The Nilsen Tapes;2408;18/08/2021;2021;TV-MA;620.940;86;minutos
Filme;Nneka The Pretty Serpent;3720;18/08/2021;2020;TV-14;827.920;140;minutos
Filme;O Kadhal Kanmani;2198;18/08/2021;2015;TV-14;206.980;133;minutos
Filme;Out of my league;164;18/08/2021;2020;TV-MA;310.470;92;minutos
Filme;Pahuna;2722;18/08/2021;2018;TV-PG;310.470;82;minutos
Filme;The Secret Diary of an Exchange Student;543;18/08/2021;2021;TV-14;413.960;97;minutos
Filme;Untold: Deal With the Devil;2028;18/08/2021;2021;TV-MA;310.470;78;minutos
Filme;Walk of Shame;3481;16/08/2021;2014;R;830.016;94;minutos
Filme;The Piano;1508;15/08/2021;1993;R;519.415;121;minutos
Filme;Unroyal;2523;15/08/2021;2020;TV-MA;415.532;97;minutos
Filme;Beckett;1101;13/08/2021;2021;TV-MA;1.249.740;110;minutos
Série;Gone for Good;1798;13/08/2021;2021;TV-MA;624.870;1;temporadas
Série;Valeria;1421;13/08/2021;2021;TV-MA;312.435;2;temporadas
Filme;Lokillo: Nothing's the Same;1810;12/08/2021;2021;TV-MA;208.552;64;minutos
Filme;Monster Hunter: Legends of the Guild;3503;12/08/2021;2021;TV-PG;417.104;59;minutos
Filme;Brother Jekwu;624;11/08/2021;2016;TV-14;417.628;101;minutos
Filme;La diosa del asfalto;1811;11/08/2021;2020;TV-MA;1.357.291;127;minutos
Filme;Misha and the Wolves;3205;11/08/2021;2021;PG-13;208.814;90;minutos
Filme;The Kissing Booth 3;3812;11/08/2021;2021;TV-14;522.035;114;minutos
Filme;The Railway Man;1757;11/08/2021;2013;R;313.221;108;minutos
Série;I Need Romance;3194;10/08/2021;2021;TV-14;1.254.456;1;temporadas
Filme;Untold: Malice at the Palace;1122;10/08/2021;2021;TV-MA;1.045.380;70;minutos
Filme;Quartet;978;08/08/2021;2012;PG-13;1.048.000;98;minutos
Filme;Slay;62;08/08/2021;2021;TV-MA;419.200;86;minutos
Filme;Takizawa Kabuki ZERO 2020 The Movie;1368;07/08/2021;2020;TV-PG;419.724;139;minutos
Filme;The Paper Tigers;2905;07/08/2021;2021;PG-13;209.862;111;minutos
Filme;Quam's Money;1894;06/08/2021;2020;TV-MA;1.050.620;115;minutos
Filme;The Swarm;1837;06/08/2021;2021;TV-14;1.260.744;102;minutos
Filme;Chennai Express;3126;05/08/2021;2013;TV-14;1.262.316;135;minutos
Filme;Esperando la carroza;111;05/08/2021;1985;TV-MA;1.367.509;95;minutos
Filme;Lady Boss: The Jackie Collins Story;2029;05/08/2021;2021;TV-14;841.544;97;minutos
Filme;Tango Feroz;2226;05/08/2021;1993;TV-MA;1.262.316;124;minutos
Filme;'76;1445;04/08/2021;2016;TV-PG;210.648;118;minutos
Filme;Aftermath;2837;04/08/2021;2021;TV-MA;1.053.240;115;minutos
Filme;American Masters: Inventing David Geffen;3543;04/08/2021;2012;TV-MA;631.944;115;minutos
Série;Cocaine Cowboys: The Kings of Miami;467;04/08/2021;2021;TV-MA;315.972;1;temporadas
Filme;Heavy;1487;03/08/2021;1995;R;843.640;104;minutos
Filme;Ije: The Journey;645;03/08/2021;2010;TV-MA;210.910;106;minutos
Série;Office Girls;1386;03/08/2021;2011;TV-14;1.160.005;1;temporadas
Filme;Pray Away;1986;03/08/2021;2021;PG-13;738.185;102;minutos
Filme;Beethoven;522;01/08/2021;1992;PG;1.374.321;87;minutos
Filme;Beethoven's 2nd;3108;01/08/2021;1993;PG;528.585;88;minutos
Filme;Beowulf;3096;01/08/2021;2007;PG-13;422.868;114;minutos
Filme;Boyka: Undisputed;3671;01/08/2021;2016;R;951.453;90;minutos
Filme;Catch Me If You Can;3501;01/08/2021;2002;PG-13;951.453;142;minutos
Filme;Deep Blue Sea;3007;01/08/2021;1999;R;634.302;105;minutos
Filme;Ferris Bueller's Day Off;1691;01/08/2021;1986;PG-13;211.434;103;minutos
Filme;Five Feet Apart;1838;01/08/2021;2019;PG-13;845.736;116;minutos
Filme;Freedomland;1658;01/08/2021;2006;R;317.151;113;minutos
Filme;Good Luck Chuck;2265;01/08/2021;2007;R;1.374.321;99;minutos
Filme;Inception;702;01/08/2021;2010;PG-13;1.162.887;148;minutos
Filme;Magnolia;2789;01/08/2021;1999;R;1.057.170;189;minutos
Filme;Major Payne;2613;01/08/2021;1995;PG-13;740.019;97;minutos
Filme;My Girl;1383;01/08/2021;1991;PG-13;211.434;102;minutos
Filme;My Girl 2;1383;01/08/2021;1994;PG;951.453;99;minutos
Filme;Open Season: Scared Silly;845;01/08/2021;2015;PG;1.268.604;85;minutos
Filme;Pineapple Express;851;01/08/2021;2008;R;740.019;112;minutos
Filme;Planet 51;1764;01/08/2021;2009;PG;1.268.604;91;minutos
Filme;Poms;3932;01/08/2021;2019;PG-13;845.736;91;minutos
Filme;Seabiscuit;1189;01/08/2021;2003;PG-13;422.868;141;minutos
Filme;Space Cowboys;723;01/08/2021;2000;PG-13;740.019;130;minutos
Filme;Team America: World Police;3729;01/08/2021;2004;R;528.585;98;minutos
Filme;The Edge of Seventeen;1909;01/08/2021;2016;R;1.162.887;105;minutos
Filme;The Haunting in Connecticut 2: Ghosts of Georgia;3681;01/08/2021;2013;R;317.151;101;minutos
Filme;The Last Boy Scout;3711;01/08/2021;1991;R;211.434;105;minutos
Filme;The Lincoln Lawyer;491;01/08/2021;2011;R;1.162.887;118;minutos
Filme;The Losers;3561;01/08/2021;2010;PG-13;317.151;97;minutos
Filme;The Machinist;489;01/08/2021;2004;R;740.019;102;minutos
Filme;The Net;1424;01/08/2021;1995;PG-13;1.162.887;114;minutos
Filme;The Original Kings of Comedy;3438;01/08/2021;2000;R;845.736;111;minutos
Filme;Valentine's Day;1181;01/08/2021;2010;PG-13;740.019;125;minutos
Filme;The Lost Café;1920;31/07/2021;2018;TV-14;1.164.328;76;minutos
Filme;The Vault;1535;31/07/2021;2021;R;211.696;118;minutos
Filme;Eyes of a Thief;2553;30/07/2021;2014;TV-14;211.958;103;minutos
Filme;I'm Glad I Did;3317;30/07/2021;2020;TV-14;317.937;114;minutos
Filme;Pomegranates and Myrrh;2553;30/07/2021;2009;TV-14;1.377.727;95;minutos
Filme;Rurouni Kenshin: The Beginning;1905;30/07/2021;2021;TV-MA;529.895;138;minutos
Filme;The Last Mercenary;838;30/07/2021;2021;TV-MA;635.874;112;minutos
Filme;Flower Girl;2451;29/07/2021;2013;TV-PG;318.330;94;minutos
Filme;Resort to Love;3502;29/07/2021;2021;TV-14;742.770;102;minutos
Filme;Bartkowiak;793;28/07/2021;2021;TV-MA;318.723;92;minutos
Filme;Fantastic Fungi;2114;28/07/2021;2019;TV-14;212.482;81;minutos
Série;The Flash;1245;28/07/2021;2021;TV-14;1.168.651;7;temporadas
Filme;Department;2959;27/07/2021;2012;TV-MA;1.382.836;143;minutos
Filme;Hostage House;834;27/07/2021;2021;TV-14;212.744;86;minutos
Filme;Mimi;2039;27/07/2021;2021;TV-14;212.744;132;minutos
Filme;The Operative;3923;27/07/2021;2019;TV-MA;531.860;117;minutos
Filme;Django Unchained;2903;24/07/2021;2012;R;747.355;165;minutos
Filme;A Second Chance:  Rivals!;718;23/07/2021;2021;PG;427.584;91;minutos
Filme;African America;2539;23/07/2021;2021;TV-MA;855.168;97;minutos
Filme;Bankrolled;2233;23/07/2021;2021;TV-MA;1.175.856;97;minutos
Filme;Blood Red Sky;2835;23/07/2021;2021;TV-MA;427.584;123;minutos
Filme;Kingdom: Ashin of the North;1958;23/07/2021;2021;TV-MA;1.068.960;94;minutos
Filme;The Last Letter From Your Lover;365;23/07/2021;2021;TV-MA;213.792;111;minutos
Filme;Chhota Bheem - Dinosaur World;3399;22/07/2021;2015;TV-Y;1.284.324;65;minutos
Filme;Chhota Bheem - Neeli Pahaadi;2947;22/07/2021;2013;TV-Y7;749.189;64;minutos
Filme;Chhota Bheem & Ganesh;2947;22/07/2021;2009;TV-Y7;642.162;68;minutos
Filme;Chhota Bheem & Krishna: Mayanagari;2947;22/07/2021;2011;TV-Y7;963.243;67;minutos
Filme;Chhota Bheem & Krishna: Pataliputra- City of the Dead;2947;22/07/2021;2010;TV-Y7;642.162;66;minutos
Filme;Chhota Bheem And The Broken Amulet;2947;22/07/2021;2013;TV-Y7;1.391.351;64;minutos
Filme;Chhota Bheem And The Crown of Valhalla;2947;22/07/2021;2013;TV-Y7;1.391.351;64;minutos
Filme;Chhota Bheem and the Incan Adventure;2947;22/07/2021;2013;TV-Y7;749.189;65;minutos
Filme;Chhota Bheem and The ShiNobi Secret;2947;22/07/2021;2013;TV-Y7;535.135;64;minutos
Filme;Chhota Bheem Aur Hanuman;2947;22/07/2021;2012;TV-Y7;1.284.324;68;minutos
Filme;Chhota Bheem aur Krishna;2947;22/07/2021;2009;TV-Y7;1.177.297;68;minutos
Filme;Chhota Bheem aur Krishna vs Zimbara;2947;22/07/2021;2013;TV-Y7;1.177.297;64;minutos
Filme;Chhota Bheem in African Safari;471;22/07/2021;2015;TV-Y7;642.162;62;minutos
Filme;Chhota Bheem: Bheem vs Aliens;2947;22/07/2021;2010;TV-Y7;535.135;69;minutos
Filme;Chhota Bheem: Dholakpur to Kathmandu;2947;22/07/2021;2012;TV-Y7;1.177.297;70;minutos
Filme;Chhota Bheem: Journey to Petra;2947;22/07/2021;2011;TV-Y7;1.284.324;68;minutos
Filme;Chhota Bheem: Master of Shaolin;2947;22/07/2021;2011;TV-Y7;856.216;74;minutos
Filme;Chhota Bheem: The Rise of Kirmada;2947;22/07/2021;2012;TV-Y7;428.108;68;minutos
Filme;Wannabe Courageous;2172;22/07/2021;2019;TV-14;1.070.270;90;minutos
Filme;Words Bubble Up Like Soda Pop;2008;22/07/2021;2021;TV-G;642.162;87;minutos
Filme;Sanitation Day;3333;21/07/2021;2020;TV-14;535.790;105;minutos
Filme;Milkwater;2519;20/07/2021;2020;TV-MA;214.578;102;minutos
Filme;The Tambour of Retribution;19;19/07/2021;2021;TV-14;1.396.460;91;minutos
Filme;Cosmic Sin;997;17/07/2021;2021;R;323.046;88;minutos
Filme;2 Weeks in Lagos;1892;16/07/2021;2020;TV-PG;215.626;107;minutos
Filme;Fear Street Part 3: 1666;2058;16/07/2021;2021;R;323.439;114;minutos
Filme;La ley de Herodes;2135;16/07/2021;1999;R;646.878;123;minutos
Série;Naomi Osaka;1180;16/07/2021;2021;TV-14;1.185.943;1;temporadas
Filme;The Beguiled;3419;16/07/2021;2017;R;754.691;94;minutos
Filme;The Book of Henry;730;16/07/2021;2017;PG-13;215.626;105;minutos
Filme;The Twilight Saga: Breaking Dawn: Part 1;461;16/07/2021;2011;PG-13;754.691;117;minutos
Filme;The Twilight Saga: Breaking Dawn: Part 2;461;16/07/2021;2012;PG-13;1.078.130;115;minutos
Filme;The Twilight Saga: Eclipse;887;16/07/2021;2010;PG-13;970.317;124;minutos
Filme;The Twilight Saga: New Moon;680;16/07/2021;2009;PG-13;754.691;131;minutos
Filme;Twilight;596;16/07/2021;2008;PG-13;970.317;122;minutos
Filme;A Perfect Fit;1297;15/07/2021;2021;TV-PG;215.888;113;minutos
Filme;Cheech & Chong's Still Smokin;3701;15/07/2021;1983;TV-MA;1.187.384;91;minutos
Filme;Emicida: AmarElo - Live in São Paulo;1152;15/07/2021;2021;TV-MA;647.664;100;minutos
Filme;Lift Like a Girl;2364;15/07/2021;2021;TV-PG;1.079.440;93;minutos
Filme;My Amanda;119;15/07/2021;2021;TV-14;1.295.328;90;minutos
Filme;The Unknown Saint;94;15/07/2021;2019;TV-14;323.832;100;minutos
Filme;This Changes Everything;3679;15/07/2021;2019;TV-MA;971.496;96;minutos
Filme;Gunpowder Milkshake;2580;14/07/2021;2021;R;1.188.825;115;minutos
Filme;Private Network: Who Killed Manuel Buendía?;2214;14/07/2021;2021;TV-MA;432.300;100;minutos
Filme;The Guide to the Perfect Family;3017;14/07/2021;2021;TV-MA;864.600;102;minutos
Filme;American Woman;3320;13/07/2021;2019;TV-MA;649.236;87;minutos
Filme;Born to Play;3823;12/07/2021;2020;TV-MA;541.685;93;minutos
Filme;American Ultra;2636;10/07/2021;2015;R;651.594;96;minutos
Filme;The Stand-Up;801;10/07/2021;2019;TV-MA;868.792;93;minutos
Filme;The Tour;1836;10/07/2021;2016;TV-MA;434.396;93;minutos
Filme;Fear Street Part 2: 1978;2058;09/07/2021;2021;R;761.110;111;minutos
Filme;Finding Hubby;1099;09/07/2021;2020;TV-14;326.190;105;minutos
Filme;How I Became a Superhero;969;09/07/2021;2021;TV-MA;326.190;101;minutos
Filme;Lee Su-geun: The Sense Coach;1956;09/07/2021;2021;TV-G;869.840;46;minutos
Filme;Lethal Love;371;09/07/2021;2021;TV-14;1.413.490;89;minutos
Filme;Back to Q82;76;08/07/2021;2017;TV-14;435.444;104;minutos
Filme;Home Again;1306;08/07/2021;2017;PG-13;544.305;97;minutos
Filme;Midnight Sun;3294;08/07/2021;2018;PG-13;1.415.193;91;minutos
Filme;Rock the Kasbah;405;08/07/2021;2015;R;979.749;106;minutos
Filme;Awon Boyz;3677;07/07/2021;2019;TV-MA;1.307.904;38;minutos
Filme;Brick Mansions;571;07/07/2021;2014;PG-13;544.960;90;minutos
Filme;Clash;2758;07/07/2021;2020;TV-MA;871.936;87;minutos
Filme;Major Grom: Plague Doctor;2675;07/07/2021;2021;TV-MA;1.416.896;138;minutos
Filme;Mama Drama;3333;07/07/2021;2020;TV-MA;435.968;105;minutos
Filme;Tango With Me;2170;07/07/2021;2010;TV-14;653.952;104;minutos
Série;The Mire;1505;07/07/2021;2021;TV-MA;1.198.912;2;temporadas
Filme;This Little Love Of Mine;691;07/07/2021;2021;TV-G;871.936;92;minutos
Filme;Three Thieves;3746;07/07/2021;2019;TV-14;871.936;108;minutos
Filme;A Land Imagined;3901;06/07/2021;2019;TV-MA;1.200.353;95;minutos
Filme;Har Kisse Ke Hisse: Kaamyaab;1326;06/07/2021;2020;TV-14;218.246;105;minutos
Filme;Return of the Prodigal Son;3914;06/07/2021;1976;TV-MA;1.091.230;124;minutos
Filme;Si Doel the Movie 2;2975;06/07/2021;2019;TV-G;327.369;95;minutos
